order_id,product,quantity,price,city
101,Laptop,1,65000,Bangalore
102,Mouse,2,1200,Delhi
103,Keyboard,1,2500,Hyderabad
104,Monitor,2,18000,Chennai
105,Headphones,3,1500,Mumbai
106,Laptop,1,72000,Pune
107,Mouse,5,900,Bangalore
108,Keyboard,2,2200,Delhi
109,Monitor,1,15000,Hyderabad
110,Webcam,2,3500,Chennai
111,Laptop,2,68000,Mumbai
112,Mouse,3,1100,Pune
113,Headphones,1,2500,Bangalore
114,Keyboard,4,1800,Hyderabad
115,Monitor,2,16000,Delhi
116,Webcam,1,4000,Mumbai
117,Laptop,1,75000,Chennai
118,Mouse,6,1000,Bangalore
119,Keyboard,2,3000,Pune
120,Headphones,2,2000,Delhi
121,Monitor,1,22000,Hyderabad
122,Laptop,1,69000,Mumbai
123,Webcam,3,3200,Bangalore
124,Mouse,4,1300,Chennai
125,Keyboard,1,2800,Delhi
126,Headphones,5,1800,Pune
127,Monitor,2,19500,Mumbai
128,Laptop,1,71000,Hyderabad
129,Webcam,2,4500,Delhi
130,Mouse,3,1250,Bangalore
