order_id,product,quantity,price,city,revenue
101,Laptop,1,65000,Bangalore,65000
102,Mouse,2,1200,Delhi,2400
103,Keyboard,1,2500,Hyderabad,2500
104,Monitor,2,18000,Chennai,36000
105,Headphones,3,1500,Mumbai,4500
106,Laptop,1,72000,Pune,72000
107,Mouse,5,900,Bangalore,4500
108,Keyboard,2,2200,Delhi,4400
109,Monitor,1,15000,Hyderabad,15000
110,Webcam,2,3500,Chennai,7000
111,Laptop,2,68000,Mumbai,136000
112,Mouse,3,1100,Pune,3300
113,Headphones,1,2500,Bangalore,2500
114,Keyboard,4,1800,Hyderabad,7200
115,Monitor,2,16000,Delhi,32000
116,Webcam,1,4000,Mumbai,4000
117,Laptop,1,75000,Chennai,75000
118,Mouse,6,1000,Bangalore,6000
119,Keyboard,2,3000,Pune,6000
120,Headphones,2,2000,Delhi,4000
121,Monitor,1,22000,Hyderabad,22000
122,Laptop,1,69000,Mumbai,69000
123,Webcam,3,3200,Bangalore,9600
124,Mouse,4,1300,Chennai,5200
125,Keyboard,1,2800,Delhi,2800
126,Headphones,5,1800,Pune,9000
127,Monitor,2,19500,Mumbai,39000
128,Laptop,1,71000,Hyderabad,71000
129,Webcam,2,4500,Delhi,9000
130,Mouse,3,1250,Bangalore,3750
